,jenis,nama,rating,deskripsi
0,rekreasi,Pulau kemaro,4.5,Pulau yang dipenuhi pohon hijau di dalam delta kecil Sungai Musi dengan pagoda 9 tingkat.
1,rekreasi,Benteng kuto besak,4.5,"Benteng, museum bersejarah, & tempat hangout di dekat sungai, dengan pohon palem & panorama Jembatan Ampera."
2,rekreasi,Keliling sungai musi,4.6,Keliling sungai musi menggunakan perahu ketek dengan pemandangan sungai dan pengalaman yang berbeda di atas perahu ketek
3,kuliner,Warung terapung,4.3,Tempat makan terapung yang berada di sungai musi dengan view sungai dan jembatan ampera
4,kuliner,Riverside,4.6,Restaurant yang berlokasi di monpera berada di pinggir sungai musi degan view sungai musi dan jemabatan ampera
5,kuliner,sentral kampung pempek,4.5,salah satu tempat kuliner pempek yang bisa dikunjungi yaitu di Sentral Kampung Pempek yang berada di 26 Ilir
6,budaya,Taman purbakala,4.4,Situs arkeologi dengan reruntuhan kanal kuno & museum yang memamerkan keramik & patung.
7,budaya,Musieum monpera,4.6,Melihat cerita perang yang terjadi di Palembang. Dan bisa melihat dari puncak monumen dekat dengan bkb dan jembatan ampera
8,rekreasi,Musieum sultan mahmud II,4.3,Musieum yang di jadikan cafe dengan view malam hari tema clasic dan modern
9,rekreasi,Jembatan ampera,4.7,Landmark palembang wisatawan bisa duduk dan memliki spot foto yang bagus ketika malam hari
10,rekreasi,Wisata alam puntikayu,4.2,Taman Wisata Alam Punti Kayu adalah sebuah kawasan pelestarian alam yang dimanfaatkan untuk kegiatan pariwisata alam dan rekreasi
11,rekreasi,Taman Kambang Iwak Besak,4.4,"Ruang teduh dengan kedai makanan dan jalur joging, yang terletak di samping danau buatan dengan air mancur"
12,rekreasi,Bird park jakabaring,4.4,Taman wisata alam yang berisi binatang terutama burung cocok untuk anak anak dan keluarga
13,rekreasi,jakabaring sport city,4.7,Kompleks Olahragayang luas dan yang lengkap berbagai fasilitas olahraga termasuk ski air dan danau area hijau serta stadion bermacam olahraga
14,rekreasi,Bukit Siguntang,4.3,Kawasan pelestarian alam yang dimanfaatkan untuk kegiatan pariwisata alam dan rekreasi
15,belanja,Palembang icon,"4,7",Tempat yang lengkap dengan barang branded dan juga disi fasilitas yang lengkap untuk umum
16,belanja,Palembang inda mall,"4,5",Cocok untuk berekreasi karna banyak makanan yang lengkap dan juga ada wahana bermain anak serta bioskop
17,belanja,OPI mall,"4,4","Mal indoor dengan berbagai retailer & tempat makan kasual, plus gelanggang es, taman bermain & bioskop."
18,belanja,Palembang square,"4,5","Mal dengan toko fesyen & elektronik, plus makanan cepat saji, supermarket, bioskop & pusat hiburan."
