id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,url_user,place
ChdDSUhNMG9nS0VJQ0FnSUNsOE91Ny1BRRAB,"Bagus sih tempat nya tapi kesel sama tukang parkir nya + pengamen jadi buat kalian yang ajak keluarga dari luar kota palembang tetap hati"" ya jaga barang bawak an anda semua 👌🩵",3 weeks ago,2023-12-09 15:16:36,3,MR DENDI,119,https://www.google.com/maps/contrib/103456266758645858512/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSURscllqZFlBEAE,Benteng kuto Besak. Benteng sejarah perjuangan RI. Lokasi dipinggir sungai Musi Palembang. Disamping jembatan Ampera. Sekarang digunakan oleh TNI AD dan STIKES,6 days ago,2023-12-09 15:16:36,5,Sy Firdausy,176,https://www.google.com/maps/contrib/116988870545612801085/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSUNwNXFIZzVRRRAB,"Palembang terkenal wisata kuliner, bukan wisata alam, tapi ada beberapa tempat yang menjadi icon kota palembang, salah satu nya BKB, Monpera, dan Ampera..  sekedar saran, kalau mau poto², jangan du²k di tempat, karena pengamen nya buat risih, cukup poto² saja, dan abaikan setiap tawaran. thanks",4 months ago,2023-12-09 15:16:36,4,Deas Dewi,39,https://www.google.com/maps/contrib/107516776400266068266/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSUM1dHFhbTRBRRAB,"Tamasya bersama keluarga sangat cocok sekali, ada kendaraan elektrik mini yg bisa kita naiki bersama keluarga, aneka kuliner, toilet di dekat Museum juga tersedia",a month ago,2023-12-09 15:16:36,5,Mase Production,144,https://www.google.com/maps/contrib/111034709141639383802/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSURaaDl1TGl3RRAB,"Tempatnya bagus bila ingin melihat keindahan jembatan Ampera waktu malam hari, semoga tetap ramah tamah orang-orang nya",2 months ago,2023-12-09 15:16:36,5,Dedi Setiawan,93,https://www.google.com/maps/contrib/109255137726911094147/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSUM1c002OG5nRRAB,"Sangat suka dengan tempatnya, tetapi Banyak preman dan parkir liar, meskipun kita sudah bayar parkir tidak menjamin kendaraan akan aman dari gangguan manusia jahil dan jahat. Mohon kepada pihak berwenang segera ditindak agar tempat wisata seperti ini tidak menjadi sepi akibat tangan Nakal oknum tertentu",a month ago,2023-12-09 15:16:36,5,BajiTa,56,https://www.google.com/maps/contrib/102373206070169602258/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSURSaDZ6NVBREAE,"Kalau untuk parkir sebaiknya lewat sebelah kantor walikota karna untuk parkirnya masuk ke depan BKB dan memang ada parkir khusus jangan parkir lewat RS AK Gani karena ybg ngelola parkir disitu preman dan sekali parkir buat mobil bisa 10rb, dan di BKB banyak sekali pengamen dan ada fasilitas yang rusak dan hilang.",7 months ago,2023-12-09 15:16:36,2,M. SYUFFIARHAN,143,https://www.google.com/maps/contrib/105560769709086493987/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSUNKX0pYZEdBEAE,Tmpat wisaja sntai yg ad d palembang n tmpatnya jga asyik buat kluarga.,5 months ago,2023-12-09 15:16:36,4,Mahendra Boci,2,https://www.google.com/maps/contrib/114931346303670454797/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSURKa0otTlZREAE,"Wilayah sebelah kiri adalah benteng, krg tau utk bisa diakses utk msuk ke dlm ap engga, sblh kanan, lapangan y, utk bermain anak2 atw sekedar santai lihat pemandangan sungai Musi n icon jembatan amperany, kmudian ada tugu ikan belido, lbh ke arah wahana prmainan utk anak2.",4 months ago,2023-12-09 15:16:36,5,Reka Hagyahadrian,123,https://www.google.com/maps/contrib/117737602864074914578/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSURCb3ZDbXRnRRAB,"Benteng Kuto Besak atau BKB adalah benteng yg dibangun pada tahun 1724-1758 oleh SMB I dan dilanjut pada tahun  1776-1803 oleh SMB II. BKB terletak di pinggir Sungai Musi.  BKB lebih mirip Alun-alunnya Kota Palembang. Disini tempat yg cocok untuk melihat Jembatan Ampera, dan melihat lalu lalang kapal2 dan perahu di sungai musi. selain itu disekitar BKB ada Tugu Ikan Belido, Rumah Makan Terapung, Museum Sultan Mahmud Badaruddin II, Monpera Palembang dan Mesjid Agung SMB. Dari BKB ke tempat2 yg sy sebutkan tadi akan lebih menarik dgn berjalan kaki, karena mmg lokasinya berdekatan.  Akan lebih menarik jika ke BKB pada malam hari, karena jembatan ampera lebih cantik di hiasi lampu2. Oh iya, di BKB juga banyak yg menyewakan sepeda/mobil untuk mainan anak2. Mksh",10 months ago,2023-12-09 15:16:36,5,Idah,11,https://www.google.com/maps/contrib/109326065061144519455/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSUR4a2RXSUN3EAE,"Tolong dong dinas daerah setempat, pengamen dimana2 kalau tidak dikasih duit tidak pergi, bukan satu dua tapi buanyak, pedagang kaki lima mesti di edukasi untuk SOP makanannya dong nanti parawisatawan kapok berkunjung kesini. POL PP juga kerjaannya duduk doang🤔 …",5 months ago,2023-12-09 15:16:43,2,Paningkas Sucinoviana,73,https://www.google.com/maps/contrib/110655551957964921333/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSUNwNVBpX1FREAE,"Awal Dateng ke Palembang, langsung kepikiran kesini. Kalau masih pagi tuh masih sepi, pas siang beberapa sudah ada yg jualan tapi panas banget kemaren, kalau sudah sore rame bangett, banyak yg jualan banyak yg sewa peralatan main juga",4 months ago,2023-12-09 15:16:43,5,Sherli Maharani Putri,7,https://www.google.com/maps/contrib/114202658180597149598/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSURwOWFpMDhBRRAB,T4 bernostalgia kalo kngen mie tektek 😂 cuma skrg g ada lgi yg jual di pinggir sungainya dah pindah agak kebelakang...,3 months ago,2023-12-09 15:16:43,4,Reffi Dhamayanti,82,https://www.google.com/maps/contrib/104098137588412816979/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSUNsb09Uc3pnRRAB,"Bagus, dan penuh dengan permainan anak anak, sesekali pasti happy anak di ajak jalan jalan ya kan.",3 weeks ago,2023-12-09 15:16:43,5,Try Utami Ali,32,https://www.google.com/maps/contrib/117683233801039494599/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSURKOHIyTDBnRRAB,"Healing di tengah kota sambil lihat jembatan ampera, apalagi kalau malam bagus bgttt!",4 months ago,2023-12-09 15:16:43,5,Rusliani Octavia,20,https://www.google.com/maps/contrib/110965453620826983665/reviews?hl=en,benteng kuto besak
ChZDSUhNMG9nS0VJQ0FnSUMtck5uS1VREAE,"Spot Foto terbaik dengan background jembatan Ampera sebagai Icon Kota Palembang. Untuk mendapatkan 2 versi foto berbeda dr jembatan ampera, waktu terbaik berkunjung kesini adalah mulai sore hari sampai malam, kita akan dapat sensasi berdeda dengan cahaya lampu yg menambah cantik saat foto malam² dgn latar jembatan Ampera ini. Tidak disarankam berkunjung kesini di siang hari krn cukup panas dan minim sekali pohon² rindang",11 months ago,2023-12-09 15:16:43,5,Fitri Faridah,177,https://www.google.com/maps/contrib/102306099943018880249/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSUNoNVlIc21nRRAB,"Terimakasih buat kota palembang kita sudah bikin acara jalan jalan ke palembang atau acara melancong mulai Jakabaring, naik LRT, BKB,Jembatan ampera  martabak HAR, mpek mpek beringin rajawali dan pindang sarinande udin dan tak luput terimakasih buat bapak ibu pariwisata kota dan musem",9 months ago,2023-12-09 15:16:43,5,Sakha Nail J,25,https://www.google.com/maps/contrib/116102277697217000252/reviews?hl=en,benteng kuto besak
ChdDSUhNMG9nS0VJQ0FnSURsckpLSmx3RRAB,Rekomendasi bagi yang ingin menyaksikan pemandangan Ampera di malam hari #2016,a week ago,2023-12-09 15:16:43,5,Fitri Azharina Br Ginting,35,https://www.google.com/maps/contrib/108456935165342363410/reviews?hl=en,benteng kuto besak
ChRDSUhNMG9nS0VJQ0FnSUQ1OGUxRBAB,"Benteng Kuto besak (bkb) bisa dibilang sebagai salah satu tempat wisata sekaligus tempat yang penuh dengan cerita sejarahnya yang berada di kota palembang, sehingga tempat ini ramai sekali  pengunjung terutama bagi masyarakat lokal sendiri.  Di sekeliling BKB juga terdapat beberapa bangunan dan museum, seperti contoh nya museum balaputra dewa. Sehingga membuat para pengunjung tidak bosan ketika berkunjung ke tempat tersebut, tidak hanya sebagai taman atau alun alun pada biasanya ,tetapi juga bisa melihat icon dari kota Palembang sendiri yaitu jembatan Ampera dan sungai Musi... Mungkin untuk biaya masuk nya cukup dengan membayar biaya parkir.  Banyak para pedagang yang menjual kan beberapa dari produk mereka untuk meramaikan sekaligus memperkenalkan kuliner kuliner di Palembang, contoh makanan yang populer nya adalah pempek kepada para para wisatawan dari luar kota Palembang.. jadi ketika berkunjung ke BKB tidak hanya sekedar bertamasya sekaligus mengetahui beberapa pengetahuan seperti datang ke museum, merasakan beberapa kuliner yang telah di jual oleh para pedagang lokal asli dari orang Palembang sendiri",a month ago,2023-12-09 15:16:43,5,Fachri Hambali,0,https://www.google.com/maps/contrib/118133780742330776581/reviews?hl=en,benteng kuto besak
